sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
43,0.83243,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.13793,0.17754,0.85714,0.0,0.14286,7222,496,0.12915,0.99078,0.06908,0.12288,0.94457,0.06571,0.11924,0.91475,0.06378,0.90949,0.9016,0.91752,0.63874,1.0,0.95906,0.81528,200.05158,4426.22,
44,0.99078,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17335,0.7,0.3,0.0,3991,482,0.20678,0.96373,0.11582,0.18131,0.84675,0.10153,0.18066,0.84197,0.10118,0.87325,0.8658,0.88083,0.62409,0.8,0.9655,0.7286,162.53988,4426.21,
45,0.88306,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08065,0.04492,1.0,0.0,0.0,15841,502,0.06226,0.98515,0.03214,0.05898,0.93548,0.03045,0.05725,0.90594,0.02956,0.91703,0.90889,0.92532,0.61537,0.75,0.99725,0.70741,389.50167,5014.61,
46,0.98827,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04762,0.03617,1.0,0.0,0.0,10519,482,0.08803,0.98005,0.04608,0.08289,0.925,0.04339,0.08422,0.93766,0.04409,0.92347,0.91797,0.92903,0.56198,0.55556,0.8832,0.59153,303.71958,4426.24,
47,0.59912,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.09375,0.21425,0.8,0.0,0.2,8030,506,0.11948,0.98815,0.06359,0.10748,0.89074,0.05719,0.09943,0.82227,0.05291,0.85035,0.85038,0.85033,0.567,0.8,0.99994,0.70349,177.72301,4426.21,
48,0.34383,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.18182,0.06115,1.0,0.0,0.0,2681,326,0.20174,0.96825,0.1126,0.17956,0.86454,0.10018,0.18933,0.90873,0.10568,0.91819,0.96781,0.87342,0.54919,0.66667,0.99108,0.64037,132.25455,4426.2,
49,0.99671,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564,0.03672,1.0,0.0,0.0,19942,520,0.0508,0.99754,0.02606,0.0498,0.98025,0.02555,0.04302,0.84483,0.02207,0.86269,0.85249,0.87314,0.65317,0.88889,0.99963,0.7821,551.082,7646.96,
50,0.48013,5.0,2.0,1.0,2.0,2.0,0.0,0.0,0.2,0.23781,0.75,0.25,0.0,6262,489,0.14353,0.97073,0.07749,0.1176,0.79707,0.06349,0.10963,0.74146,0.05919,0.8779,0.86572,0.89042,0.58401,0.75,0.95638,0.68764,243.65515,4426.22,
51,0.99619,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06024,0.34065,0.6,0.2,0.2,21024,518,0.04766,0.99068,0.02442,0.04419,0.92056,0.02264,0.03734,0.77622,0.01913,0.78312,0.7826,0.78363,0.63074,0.8,0.99987,0.73536,448.21675,8898.15,
52,0.93795,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35294,0.23026,0.66667,0.22222,0.11111,4162,498,0.22371,0.98815,0.12613,0.18572,0.82185,0.10469,0.16845,0.74408,0.09498,0.86574,0.84881,0.88335,0.5777,0.66667,0.99038,0.65456,173.68096,4426.21,
53,0.94062,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03571,0.01804,1.0,0.0,0.0,7092,495,0.12979,0.95824,0.06961,0.09808,0.72558,0.0526,0.10999,0.81206,0.05899,0.91174,0.91997,0.90364,0.64279,0.75,0.99301,0.72069,242.12258,4426.22,
54,0.81312,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.07353,0.08135,1.0,0.0,0.0,17292,482,0.05359,0.98826,0.02754,0.05092,0.94118,0.02617,0.04595,0.84742,0.02361,0.85108,0.83907,0.86345,0.57039,0.55556,0.99995,0.60741,487.47153,6506.05,
55,0.9984,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10345,0.06983,1.0,0.0,0.0,14607,499,0.06834,0.99763,0.03538,0.06235,0.91211,0.03228,0.05812,0.84834,0.03009,0.86232,0.8509,0.87406,0.55927,0.66667,0.99981,0.64628,539.15733,4774.58,
56,0.90396,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1875,0.31113,0.625,0.125,0.25,3849,470,0.21934,0.98759,0.12337,0.20733,0.93532,0.11659,0.18077,0.8139,0.10167,0.84928,0.84192,0.85677,0.62437,0.875,0.96492,0.75867,196.23336,4426.21,
57,0.73942,9.0,3.0,0.0,1.0,1.0,0.0,1.0,0.27273,0.30977,0.75,0.08333,0.16667,5537,482,0.16696,0.99763,0.09111,0.15433,0.92399,0.0842,0.11818,0.70616,0.06449,0.87585,0.87926,0.87245,0.48857,0.5,0.96665,0.54095,264.75044,4426.22,
58,0.98132,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.28896,0.875,0.0,0.125,9826,490,0.09949,0.96847,0.05244,0.0847,0.82619,0.04464,0.0789,0.76802,0.04159,0.81517,0.80252,0.82823,0.51347,0.5,0.99987,0.55672,293.01154,4426.23,
59,0.99766,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.2767,0.625,0.125,0.25,5484,487,0.15921,0.99211,0.08655,0.15294,0.95515,0.08312,0.13851,0.86316,0.0753,0.84749,0.83598,0.85933,0.60341,1.0,0.99962,0.80167,211.10228,4426.22,
60,0.78388,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09677,0.14814,0.83333,0.16667,0.0,7875,507,0.1254,0.99309,0.06693,0.12136,0.96305,0.06476,0.10852,0.85945,0.05792,0.89585,0.87646,0.91612,0.65298,0.66667,0.94245,0.6874,248.6805,4426.22,
61,0.98694,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793,0.16291,0.71429,0.28571,0.0,7346,500,0.12872,0.99513,0.06881,0.12372,0.95854,0.06613,0.10228,0.79075,0.05468,0.87332,0.86156,0.88541,0.75913,1.0,0.94944,0.87451,230.51886,4426.22,
62,0.99816,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714,0.46026,0.25,0.375,0.375,3457,416,0.21759,0.99715,0.12212,0.21275,0.97714,0.11937,0.19024,0.87179,0.10677,0.8294,0.82502,0.83381,0.66555,0.75,0.91593,0.72437,158.85485,4426.21,
63,0.99813,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09091,0.09117,0.85714,0.14286,0.0,5454,482,0.15972,0.96882,0.08703,0.14396,0.875,0.07843,0.13204,0.80096,0.07195,0.84619,0.83725,0.85533,0.66709,1.0,0.83167,0.81671,194.06543,4426.21,
